age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,salary
56,Unemployed,Bachelors,7,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,83,98432
69,Unemployed,HS-grad,16,Separated,Other-service,Unmarried,Asian-Pac-Islander,Male,31,38390
46,Unemployed,Some-college,9,Divorced,Craft-repair,Own-child,White,Male,91,32384
32,Government,Doctorate,5,Single,Tech-support,Wife,White,Female,64,86951
60,Unemployed,Doctorate,9,Single,Sales,Wife,Asian-Pac-Islander,Female,15,76525
25,Government,HS-grad,16,Single,Exec-managerial,Unmarried,Black,Female,46,28860
38,Self-emp,Masters,6,Divorced,Prof-specialty,Wife,White,Female,48,108256
56,Private,Bachelors,10,Married,Sales,Own-child,Other,Female,68,85611
36,Private,HS-grad,16,Divorced,Exec-managerial,Not-in-family,White,Female,83,32434
40,Government,Doctorate,10,Single,Prof-specialty,Wife,Asian-Pac-Islander,Male,85,132888
28,Self-emp,Assoc,10,Single,Exec-managerial,Own-child,Black,Female,40,82621
28,Government,Doctorate,4,Single,Tech-support,Own-child,White,Male,1,88128
41,Self-emp,Assoc,13,Separated,Sales,Own-child,Asian-Pac-Islander,Male,20,44955
53,Unemployed,Bachelors,16,Married,Prof-specialty,Wife,Other,Male,22,42653
57,Self-emp,Assoc,1,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,54,60214
41,Self-emp,HS-grad,1,Single,Prof-specialty,Unmarried,Other,Male,77,59942
20,Self-emp,Assoc,14,Widowed,Craft-repair,Unmarried,Other,Male,65,69107
39,Private,Masters,10,Married,Sales,Wife,Black,Female,15,114387
19,Self-emp,HS-grad,5,Widowed,Tech-support,Wife,White,Male,61,34322
41,Unemployed,Bachelors,13,Married,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,79,49597
61,Unemployed,HS-grad,14,Single,Other-service,Not-in-family,Asian-Pac-Islander,Male,14,40463
47,Unemployed,Masters,3,Married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,69,113674
55,Self-emp,Bachelors,5,Married,Other-service,Own-child,White,Male,49,74416
19,Government,Doctorate,5,Single,Prof-specialty,Unmarried,Black,Male,6,141798
38,Government,Masters,1,Widowed,Other-service,Wife,White,Female,41,78696
50,Unemployed,Bachelors,14,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,31,86765
